,player_id,name,club,league,height_cm,weight_kg,position,foot,country,age,PD_Info,Goals Against,Shots on Target Against,Saves,Save Percentage,Wins,Draws,Losses,Clean Sheets,Clean Sheet Percentage,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Save% (Penalty Kicks),Free Kick Goals Against,Corner Kick Goals Against,Own Goals Scored Against Goalkeeper,Post-Shot Expected Goals,PSxG/SoT,PSxG-GA,Passes Completed (Launched),Passes Attempted (Launched),Pass Completion Percentage (Launched),Passes Attempted,Throws Attempted,Launch %,Average Pass Length,Goal Kicks,Launch% (Goal Kicks),Avg. Length of Goal Kicks,Crosses Faced,Crosses Stopped,Crosses Stopped %,Def. Actions Outside Pen. Area,Avg. Distance of Def. Actions
85,ab4449d6,Łukasz Skorupski,Bologna,Serie A,187,83,Goalkeeper,Right,Poland,31.45,Łukasz Skorupski - 31.45 - Bologna,1.45,4.92,3.68,73.3,0.24,0.26,0.5,0.24,23.7,0.16,0.13,0.03,0.0,16.7,0.03,0.16,0.08,1.42,0.26,0.05,6.76,15.0,45.1,28.34,4.79,44.0,37.4,8.26,30.6,27.8,10.61,0.71,6.7,0.29,11.2
86,ac4003af,Marco Sportiello,Atalanta,Serie A,192,87,Goalkeeper,Right,Italy,30.44,Marco Sportiello - 30.44 - Atalanta,0.76,3.91,3.03,80.6,0.25,0.5,0.13,0.5,57.1,0.0,0.0,0.0,0.0,,0.13,0.25,0.0,0.81,0.21,0.05,5.05,12.62,40.0,24.11,5.81,25.1,30.2,8.08,81.3,58.6,8.08,0.25,3.1,1.26,13.6
87,01b8a2b2,Wojciech Szczęsny,Juventus,Serie A,195,87,Goalkeeper,Right,Poland,32.5,Wojciech Szczęsny - 32.5 - Juventus,0.99,2.94,2.06,70.0,0.56,0.24,0.21,0.37,36.8,0.16,0.11,0.05,0.0,33.3,0.05,0.19,0.03,1.05,0.31,0.09,5.04,10.2,49.5,25.25,4.3,32.7,33.8,5.26,37.1,34.6,8.62,0.45,5.3,0.56,13.9
88,b056e3da,Ciprian Tătărușanu,Milan,Serie A,198,89,Goalkeeper,Right,Romania,36.69,Ciprian Tătărușanu - 36.69 - Milan,1.33,3.67,2.58,68.2,0.58,0.17,0.25,0.25,25.0,0.25,0.17,0.08,0.0,33.3,0.08,0.17,0.08,1.28,0.29,0.03,6.58,12.92,51.0,27.17,3.08,37.7,35.9,5.42,49.2,43.7,6.83,0.5,7.3,0.42,13.8
89,e1b0a70d,Pietro Terracciano,Fiorentina,Serie A,193,78,Goalkeeper,Right,,32.61,Pietro Terracciano - 32.61 - Fiorentina,1.34,2.97,1.71,55.8,0.43,0.2,0.37,0.29,28.6,0.06,0.03,0.03,0.0,50.0,0.0,0.11,0.06,1.13,0.37,-0.16,8.06,16.4,49.1,39.4,4.17,35.9,35.3,5.63,40.1,35.7,5.83,0.6,10.3,0.97,16.1
90,77d6fd4d,Guglielmo Vicario,Empoli,Serie A,194,87,Goalkeeper,Right,,26.04,Guglielmo Vicario - 26.04 - Empoli,1.63,5.28,3.8,71.1,0.23,0.4,0.38,0.2,20.0,0.2,0.1,0.05,0.05,33.3,0.03,0.2,0.13,1.64,0.29,0.14,4.95,13.33,37.1,31.05,5.7,33.5,34.5,6.1,48.0,41.2,11.6,1.13,9.7,0.45,13.4
91,9f0ea33f,Sergio Asenjo,Valladolid,La Liga,189,69,Goalkeeper,Right,Spain,33.31,Sergio Asenjo - 33.31 - Valladolid,1.5,3.6,2.2,61.1,0.2,0.3,0.5,0.1,10.0,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.0,1.48,0.39,-0.02,6.2,14.7,42.2,27.6,4.9,32.6,34.7,10.3,55.3,46.4,10.6,0.5,4.7,1.6,15.9
92,e4346678,Édgar Badía,Elche,La Liga,181,76,Goalkeeper,Right,Spain,30.68,Édgar Badía - 30.68 - Elche,1.74,5.0,3.56,71.2,0.24,0.24,0.53,0.15,14.7,0.41,0.29,0.09,0.03,23.1,0.0,0.21,0.03,1.81,0.31,0.19,8.53,18.29,46.6,24.24,4.0,50.8,40.4,8.18,73.0,51.9,10.97,0.94,8.6,0.71,15.0
93,f6798fc3,Yassine Bounou,Sevilla,La Liga,190,79,Goalkeeper,Left,Morocco,31.53,Yassine Bounou - 31.53 - Sevilla,1.14,3.76,2.71,73.3,0.34,0.37,0.3,0.3,29.5,0.18,0.14,0.02,0.02,14.3,0.05,0.18,0.0,1.35,0.33,0.21,6.11,13.78,44.4,27.79,3.79,33.8,35.1,8.01,54.7,44.0,7.23,0.62,8.5,0.68,15.6
94,10072610,Claudio Bravo,Betis,La Liga,184,77,Goalkeeper,Right,Chile,39.51,Claudio Bravo - 39.51 - Betis,1.1,3.67,2.72,72.7,0.48,0.29,0.29,0.33,31.8,0.14,0.1,0.0,0.05,0.0,0.05,0.1,0.1,1.23,0.31,0.22,6.25,16.22,38.5,23.9,3.62,52.9,43.5,5.68,63.0,50.3,8.54,0.38,4.5,0.62,13.7
95,688b96e3,Juan Carlos,Girona,La Liga,186,81,Goalkeeper,Right,,34.74,Juan Carlos - 34.74 - Girona,1.67,3.89,2.44,62.9,0.22,0.22,0.56,0.0,0.0,0.22,0.22,0.0,0.0,0.0,0.11,0.11,0.0,1.37,0.3,-0.3,4.33,8.78,49.4,28.33,4.78,24.3,30.5,5.56,34.0,33.0,7.78,0.0,0.0,1.44,15.7
